industry,lead_score_mean,lead_score_median,lead_score_std,website_visits_mean,email_clicks_mean,conversion_rate_mean,Recommendation
aggregate 24/365 applications,1.0,1.0,,4695.0,384.0,1.9523809523809523,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate 24/365 experiences,1.0,1.0,,9362.0,227.0,0.1790878754171301,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate 24/365 models,1.0,1.0,,324.0,187.0,0.0062535531552018,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate 24/365 niches,1.0,1.0,,2297.0,358.0,0.1436107854630715,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate 24/365 supply-chains,1.0,1.0,,9607.0,25.0,0.40625,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate 24/7 bandwidth,1.0,1.0,,298.0,228.0,0.2604166666666667,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate 24/7 convergence,1.0,1.0,,1545.0,376.0,0.1238601823708206,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate 24/7 deliverables,1.0,1.0,,1395.0,474.0,0.7416413373860182,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate B2B ROI,1.0,1.0,,2694.0,136.0,0.2707240293809024,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate B2B niches,1.0,1.0,,4157.0,81.0,0.2701421800947867,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate B2B partnerships,1.0,1.0,,4049.0,236.0,0.4199830651989839,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate back-end e-tailers,1.0,1.0,,4318.0,157.0,0.1959611069558713,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate back-end paradigms,1.0,1.0,,9934.0,51.0,0.1995719636169074,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate back-end web-readiness,1.0,1.0,,821.0,424.0,0.1769273433166944,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate best-of-breed content,1.0,1.0,,178.0,148.0,0.8846153846153846,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
aggregate best-of-breed solutions,1.0,1.0,,4664.0,351.0,0.0932432432432432,High potential. Recommend aggressive multi-channel marketing and highly personalized outreach.
