company_name,industry,company_size,website_visits,email_clicks,ad_impressions,ad_clicks,conversions,ad_click_through_rate,conversion_rate,qualified,lead_score,strategy
Cochran LLC,redefine integrated e-tailers,500,7380,203,4919,1876,168,0.38137832892864404,0.08955223880597014,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Rodriguez Inc,productize turn-key infrastructures,50,2709,436,22125,638,141,0.028836158192090396,0.22100313479623823,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Nelson, Miller and Wilson",productize sexy metrics,10,550,465,29771,92,51,0.003090255617883175,0.5543478260869565,1,0.9999819,Aggressive multi-channel approach with personalized content.
"Bernard, Kelley and Barnett",embrace out-of-the-box technologies,1000,3229,448,32871,1810,372,0.055063733990447505,0.20552486187845304,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Rose, Sanchez and Flores",aggregate robust action-items,500,5056,287,3007,932,150,0.30994346524775523,0.1609442060085837,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Beltran-Simon,integrate front-end e-commerce,10,2020,455,31242,61,235,0.0019524998399590295,3.8524590163934427,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Morris LLC,orchestrate e-business niches,10,3753,246,48485,1925,230,0.0397030009281221,0.11948051948051948,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Brandt, Kelly and Scott",transition cross-platform models,50,8217,198,22519,128,38,0.005684088991518273,0.296875,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Brown-Butler,productize efficient e-business,1000,9322,34,34917,1207,273,0.03456768909127359,0.22618061309030654,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Griffin LLC,exploit revolutionary channels,500,1101,57,26628,700,160,0.026288117770767613,0.22857142857142856,0,4.6473968e-32,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Smith, Smith and Ferguson",leverage scalable e-business,10,6928,406,4485,504,223,0.11237458193979934,0.44246031746031744,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Spears-Mann,whiteboard rich functionalities,10,2365,41,32717,1638,148,0.050065715071675274,0.09035409035409035,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Roberts Ltd,generate extensible synergies,10,3983,103,33271,1910,391,0.05740735174776833,0.20471204188481676,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Johnson, Hansen and Moore",embrace web-enabled architectures,1000,4762,365,24989,1408,465,0.056344791708351674,0.3302556818181818,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Ortiz Ltd,incubate leading-edge deliverables,1000,4759,335,45058,1761,490,0.03908295974077855,0.2782509937535491,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Stephens, Perez and Diaz",monetize bleeding-edge markets,10,8967,405,3356,1955,247,0.5825387365911799,0.12634271099744246,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Parker and Sons,maximize interactive initiatives,500,7659,487,31192,1095,306,0.03510515516799179,0.27945205479452057,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Sutton and Sons,iterate scalable users,500,4875,376,8973,1846,356,0.20572829599910844,0.19284940411700974,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Murray Inc,harness ubiquitous users,500,7888,159,6163,718,315,0.11650170371572287,0.4387186629526462,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Gross, Petersen and Fowler",incubate wireless markets,100,9417,474,42643,1764,120,0.0413666955889595,0.06802721088435375,0,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Mitchell Group,syndicate best-of-breed paradigms,10,915,144,42315,1165,483,0.027531608176769466,0.4145922746781116,1,5.7324446e-25,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Kerr, Shaffer and Henderson",monetize one-to-one portals,50,1491,121,37553,260,153,0.0069235480520863845,0.5884615384615385,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Ware Group,engage distributed communities,500,8301,217,49198,328,344,0.006666937680393512,1.048780487804878,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Blake-Campbell,deliver distributed e-commerce,500,1401,453,25755,1039,112,0.04034168122694622,0.10779595765158806,0,1.9982173e-33,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
Baker-Miller,engage turn-key e-markets,10,6086,306,42792,301,85,0.0070340250514114785,0.2823920265780731,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Ramos, Mitchell and Lindsey",re-intermediate synergistic mindshare,50,6851,271,38135,1795,470,0.047069621082994624,0.2618384401114206,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
"Alvarez, Skinner and Boyd",repurpose world-class action-items,50,3424,282,24493,85,151,0.0034703792920426245,1.776470588235294,1,0.0,Low-intensity nurturing. Automated follow-ups and occasional check-ins.
