company_name,industry,company_size,website_visits,email_clicks,ad_impressions,ad_clicks,conversions,ad_click_through_rate,conversion_rate,qualified,lead_score,strategy,lead_efficiency,lead_efficiency_norm
Burke-Mccarty,harness distributed e-commerce,1000,2258,363,42587,1029,104,0.0241623030502265,0.1010689990281827,0,1.0,Aggressive multi-channel approach with personalized content.,3.8546528996255796e-05,0.0013773606345428417
Obrien and Sons,evolve integrated users,100,4833,144,8515,1280,452,0.1503229594832648,0.353125,1,1.0,Aggressive multi-channel approach with personalized content.,7.093712334270792e-05,0.002545408641164229
"Ellis, Davis and Norton",aggregate B2B bandwidth,10,9744,159,14552,1726,106,0.1186091258933479,0.0614136732329084,0,1.0,Aggressive multi-channel approach with personalized content.,6.200895924162803e-06,0.00021093399140520599
Simmons and Sons,embrace out-of-the-box technologies,100,1412,428,14175,1346,395,0.0949559082892416,0.2934621099554235,1,1.0,Aggressive multi-channel approach with personalized content.,0.00015940364473407035,0.005735629322472218
"Padilla, Moore and Walters",seize compelling paradigms,1000,897,168,40022,273,101,0.0068212483134276,0.36996336996337,1,1.0,Aggressive multi-channel approach with personalized content.,0.00034705757032211067,0.012502680009265105
"Gill, Hudson and Jones",incentivize bleeding-edge paradigms,1000,6404,32,35612,1414,214,0.0397057171739863,0.1513437057991513,0,1.0,Aggressive multi-channel approach with personalized content.,2.351152800981067e-05,0.0008351784583244109
Hanson LLC,synergize compelling metrics,1000,5641,490,38486,324,468,0.0084186457413085,1.4444444444444444,1,1.0,Aggressive multi-channel approach with personalized content.,0.00023555845473653692,0.008481873280411658
Cooley-Jones,optimize frictionless e-tailers,1000,9299,335,32472,1233,434,0.0379711751662971,0.3519870235198702,1,1.0,Aggressive multi-channel approach with personalized content.,3.653212491124756e-05,0.001304718538171999
Allen-Horton,productize 24/7 vortals,1000,7976,132,24095,1506,254,0.0625025938991492,0.1686586985391766,0,1.0,Aggressive multi-channel approach with personalized content.,2.0798951601822247e-05,0.0007373593373700549
Thomas-Lee,drive impactful models,50,3805,192,32277,184,211,0.0057006537162685,1.1467391304347827,1,1.0,Aggressive multi-channel approach with personalized content.,0.0002868281967070492,0.010330728514993337
Branch LLC,engage customized e-business,500,2482,263,3822,113,439,0.0295656724228152,3.884955752212389,1,1.0,Aggressive multi-channel approach with personalized content.,0.0014147690284822974,0.051005778378234216
Stewart Group,re-contextualize strategic models,100,8155,274,33551,1196,271,0.035647223629698,0.2265886287625418,0,1.0,Aggressive multi-channel approach with personalized content.,2.687884089709867e-05,0.0009566082494420929
Villanueva-Vasquez,engage magnetic portals,100,5277,92,33222,1199,392,0.0360905424116549,0.3269391159299416,1,1.0,Aggressive multi-channel approach with personalized content.,6.088251693295002e-05,0.002182826131912844
"Stone, Gomez and Davis",engage virtual methodologies,500,906,110,5633,887,424,0.1574649387537724,0.4780157835400225,1,1.0,Aggressive multi-channel approach with personalized content.,0.00047002535254672814,0.01693706214408536
"Thomas, Ross and Hall",redefine granular platforms,500,3212,254,7936,1311,346,0.1651965725806451,0.2639206712433257,1,1.0,Aggressive multi-channel approach with personalized content.,7.612364327756726e-05,0.002732441463298229
